hin_Deva,urd_Arab,eng_Latn,doi_Deva
अठारह राज्यों और केन्द्र शासित प्रदेशों में 46 लाख से भी ज्यादा बी.पी.एल. परिवारों को जीवमितीय पहचान-युक्त स्मार्ट कार्ड जारी किए गए हैं।,‏اٹھارہ ریاستوں اور مرکز کے زیر انتظام علاقوں میں 46 لاکھ سے زیادہ بی پی ایل کنبوں کو بائیو میٹرک اسمارٹ کارڈ جاری کیے گئے ہیں۔‏,More than 46 lakh BPL families in eighteen States and UTs have been issued biometric smart cards.,ठारें राज्यें ते केंदरशासत प्रदेशें च 46 लक्ख कोला मते बीपीऐल्ल परोआरें गी बायोमेट्रिक स्मार्ट कार्ड जारी कीते गे न।
कार्यवाहियों का सीधा प्रसारण 1994 से शुरू हुआ।,کارروائی کا براہ راست ٹیلی کاسٹ 1994 میں شروع ہوا تھا۔‏,The live telecast of proceedings started in 1994.,कारवाई दा सिद्धा प्रसारण 1994 च शुरू होआ।
"15 सितंबर 2021 को अंतर्राष्ट्रीय लोकतंत्र दिवस मनाने के लिए संसद भवन एनेक्सी, नई दिल्ली में भारत के उप-राष्ट्रपति, श्री एम. वेंकय्या नायडू, भारत के प्रधानमंत्री, श्री नरेंद्र मोदी, तथा लोकसभा अध्यक्ष, श्री ओम बिड़ला की गरिमामय उपस्थिति में संसद टी.वी. आरंभ किया गया।","‏15 ستمبر 2021 کو جمہوریت کے عالمی دن کے موقع پر نئی دہلی میں پارلیمنٹ ہاؤس انیکسی میں نائب صدر جمہوریہ ہند جناب ایم وینکیا نائیڈو، وزیر اعظم جناب نریندر مودی اور لوک سبھا کے اسپیکر جناب اوم برلا کی مسعود موجودگی میں سنسد ٹی وی کا افتتاح کیا گیا ۔‏","Commemorating the International Day of Democracy on 15 September 2021, the Sansad TV has been launched in the august presence of the Vice-President of India, Shri M. Venkaiah Naidu, the Prime Minister of India, Shri Narendra Modi and Speaker, Lok Sabha, Shri Om Birla at the Parliament House Annexe in New Delhi.","15 सितंबर 2021 गी अंतर्राश्ट्री लोकतंत्र दिन दे उपलक्ष्य च, संसद टीवी गी नमीं दिल्ली च संसद भवन एनेक्सी च भारत दे उपराश्ट्रपति, श्री म . वेंकैया नायडू, भारत दे प्रधान मंत्री, श्री नरेंद्र मोदी ते लोकसभा अध्यक्ष, श्री ओम बिड़ला हुंदी मजूदगी च लांच कीता गेआ ऐ।"
"कमखर्ची, दक्षता और प्रभावकारिता लाने के लिए, दोनो सदनों के पीठासीन अधिकारी -भारत के उपराष्ट्रपति और राज्य सभा के सभापति तथा लोक सभा के अध्यक्ष - ने दोनों चैनलों के विलय के लिए सहमति दी।","‏چناں چہ معیشت، کارکردگی اور موثریت لانے کے لیے پارلیمنٹ کے دونوں ایوانوں کے پریزائیڈنگ افسران یعنی نائب صدر جمہوریہ ہند اور راجیہ سبھا کے چیئرمین اور لوک سبھا کے اسپیکر نے دونوں چینلوں کو ضم کرنے پر اتفاق کیا۔‏","So as to bring about the economy, efficiency and effectiveness, the Presiding Officers of both the Houses of Parliament - the Vice-President of India and Chairman of Rajya Sabha and the Speaker of Lok Sabha - agreed to merge the two Channels.","अर्थ-व्यवस्था, निपुणता ते प्रभावशीलता आह्‌‌‌नने लेई, पार्लियामैंट दे दौनें सदनें दे अध्यक्ष अधिकारी - भारत दे उपराश्ट्रपति ते राज्य सभा दे सभापति ते लोकसभा दे अध्यक्ष - दौनें चैनलें दे विलय आस्तै सैह्‌‌मत होई गे।"
आमतौर पर चर्चा के लिए तीन दिन का समय आवंटित किया जाता है।,"عام طور پر، بحث کے لیے تین دن مختص کیے جاتے ہیں۔","Generally, three days are allotted for the discussion.",आम तौर उप्पर परिचर्चा आस्तै त्रै दिन अलाट कीते जंदे न ।
2014 से मोदी सरकार ने प्राथमिकता दी है कि आम भारतीय के लिए देश एवं विदेश में पासपोर्ट प्राप्त करना और नवीकरण करना आसान बनाया जा सके।,"2014 کے بعد سے، مودی حکومت کی ترجیح رہی ہے کہ اوسط ہندوستانی کے لیے گھر اور بیرون ملک پاسپورٹ حاصل کرنا اور تجدید کرنا آسان بنایا جائے۔","Since 2014, it has been the Modi Government's priority to make it easier for the average Indian to obtain and renew passports, both at home and abroad.","2014 कोला, एह्‌‌ मोदी सरकार दी तरजीह् रेही ऐ दी जे देश ते बदेस दौनें थाह्‌‌‌रें पर औसत भारती आस्तै पासपोर्टें गी लैना ते उ'नें गी नमां कराना सौखा बनाया जाऽ।"
"लेकिन, अगले अभियान में, अपतटीय बेसिनों (पूर्वी तट, पश्चिमी तट और अंडमान) से लेकर ई.ई.ज़ेड. सीमाओं पर काम किया जाएगा।","‏تاہم، اگلی مہم میں، ای ای زیڈ کی حدود تک آف شور بیسن (ایسٹ کوسٹ، ویسٹ کوسٹ اور انڈمان) کو لیا جارہا ہے۔‏","However, in the next campaign, offshore basins (East Coast, West Coast and Andaman) up to EEZ boundaries are being taken up.","हालां-के, अगली म्हीम च, ईईज़ैड्ड सीमाएं तक्कर कंढे शा दूरै दे बेसिनें ( पूरबी कंढा, पच्छमी कंढा ते अंडमान ) गी लैता जा’रदा ऐ।"
एन.एस.पी. के तहत मूल्यांकन कार्यक्रम का नियोजन तटीय बेसिनों का मूल्यांकन करने के लिए किया गया था।,‏این ایس پی کے تحت تشخیصی پروگرام کا منصوبہ زمینی طاسوں کا احاطہ کرنے کے لیے بنایا گیا تھا۔‏,The appraisal program under NSP was planned to cover onland basins.,ऐन्नऐस्सपी दे तैह्‌‌‌त जायजा कार्यक्रमै दी योजना ऑनलैंड बेसिनें गी कवर करने आस्तै बनाई गेई ही।
"फरवरी 2022 तक अंडमान अपतट में कुल 22,555 एल.के.एम. 2डी ब्रॉडबैंड भूकंपीय विवरण का अधिग्रहण किया जा चुका है।","فروری 2022 تک، انڈمان آف شور میں کل 22،555 ایل کے ایم ٹو ڈی براڈبینڈ سیسمک ڈیٹا حاصل کیا گیا ہے۔","Till February 2022, a total of 22,555 LKM 2D Broadband seismic data in the Andaman offshore has been acquired.","फरवरी 2022 तक्कर, अंडमान च समुंदरी कंढे शा दूर कुल 22, 555 ऐल्लकेऐम्म 2डी ब्राडबैंड भुंचाली डेटा प्राप्त कीता गेआ ऐ।"
"यह संसाधन हमें हमारे विकास के प्रयास में रह गई महत्वपूर्ण कमियों से उभरने के उपाय प्रदान करते हैं, विशेष रूप से हमारी जनसंख्या के कमज़ोर वर्गों के कल्याण के संबंध में।","یہ وسائل ہمیں ان اہم خلیجوں کو پاٹنے کے ذرائع فراہم کرتے ہیں جو ہماری ترقیاتی کوششوں میں باقی ہیں، خاص طور پر ہماری آبادی کے کمزور طبقات کی بہتری کے حوالے سے۔","These resources provide us with the means to bridge the critical gaps that remain in our development efforts, particularly with regard to the welfare of the vulnerable segments of our population.","एह्‌‌ संसाधन साढ़े विकास प्रयासें च रेही गेदे उ'नें गंभीर गैपें गी पाटने दे साधन प्रदान करदे न , खास करियै साढ़ी अबादी दे कमजोर वर्गें दी भलाई-बेह्‌तरी दे सरबंधै च ।"
महिलाओं में निरक्षरता को तीन वर्षों में वर्तमान स्तर से उसके आधे पर लाने का लक्ष्य है।,اس کا مقصد تین سالوں میں خواتین ناخواندگی کے موجودہ سچح کو نصف تک کم کرنا ہے۔,The aim will be to reduce by half the current level of female illiteracy in three years.,एह्‌‌‌दा मकसद त्रʼऊं बʼरें च महिला निरक्षरता दे मजूदा स्तर गी अद्धा करना ऐ।
"लेकिन जनपदाधिकारी सेवा, पुलिस और सेना में मुख्य रूप से मुसलमानों का वर्चस्व था।","‏لیکن سول سروسز، پولیس اور فوج میں مسلمان زیادہ غالب تھے۔‏","But the civil services, the police and the army were the close preserve of the Muslims.","पर सिविल सेवां, पुलस ते सैना मुसलमानें दे गोपनीय संरक्षण हे।"
"आगमन के समय इलेक्ट्रॉनिक टोकन और पी.एस.के. में सेवा पूरी हो जाने पर इलेक्ट्रॉनिक निर्गम पत्र जारी करने से कागज-रहित सेवा, पर्यावरण की रक्षा और हरित पहलों को बढ़ावा देना सक्षम हो सका है।","‏پی ایس کے میں خدمات کی تکمیل کے بعد آمد پر الیکٹرانک ٹوکن اجرا اور الیکٹرانک ایگزٹ لیٹر نے پیپر لیس سروس فراہم کرنے، ماحولیات کی حفاظت اور ڈیجیٹل انڈیا کے سبز اقدامات کو فروغ دینے میں مدد فراہم کی ہے۔‏","Electronic Token Issuance upon arrival and an electronic Exit Letter after completion of service at the PSK has enabled in providing of paperless service, protecting the environment and promoting the green initiatives of Digital India.","पुज्जने उप्पर इलैक्ट्रानिक टोकन जारी करने ते सेवा पूरी करने बाद इलैक्ट्रानिक निकासी चिट्ठी जारी करने कन्नै पीऐस्सके ने पेपरलैस्स सेवा मुहैया कराने, पर्यावरण दे संरक्षण ते डिजिटल इंडिया दियें ग्रीन पैह्‌लें गी बढ़ावा देने गी समर्थ कीता ऐ ।"
इस प्रकार की समेकित प्रक्रिया ने सेवा सुपुर्दगी की गति बढ़ाने और लोगों की शिकायतों को कम करने में मदद की है।,‏اس طرح کے ہموار عمل نے خدمات کی فراہمی کی رفتار کو بڑھانے اور عوامی شکایات کو کم کرنے میں مدد کی ہے۔‏,Such a seamless process has helped in increasing the speed of service delivery and reduced public grievances.,इस चाल्ली दी नियमत प्रक्रिया कन्नै सेवा अदायगी दी रफ्तार बधाने च मदद मिली ऐ ते लोकें दियें शकैतें च कमी आई ऐ।
नियम के अनुसार इस मामले के लिए सदन के नेता या संबंधित मंत्री से परामर्श करने की कोई आवश्यकता नहीं है।,قواعد کی رو سے اس سلسلے میں قائد ایوان یا متعلقہ وزیر سے مشورہ کرنے کی کوئی ضرورت نہیں ہے۔‏,There is no requirement under the rules to consult the Leader of the House or the Minister concerned in this regard.,नियमें दे तैह्‌‌‌त इस कन्नै सरबंधत नेता जां सरबंधत मंत्री कन्नै सलाह्‌‌ करने दी कोई लोड़ नेईं ऐ।
"इन उपायों में आर्थिक सहायता, कर, व्यय और विनिवेश जैसे बजट के सभी पहलुओं को शामिल किया जाना चाहिए।","‏ان اقدامات میں بجٹ کے تمام پہلوؤں جیسے سبسڈیاں، ٹیکس، اخراجات اور سرمایہ کاری کو شامل کرنا ہوگا۔‏","These measures have to encompass all aspects of the Budget such as subsidies, taxes, expenditures and disinvestment.","इʼनें जुगतियें च बजट दे सब्भै पक्ख, जिʼयां सब्सिडियां,टैक्स, खर्चे ते विनिवेश शामल होने चाहिदे।"
"भुगतानों के स्थिर संतुलन, औसत दर्जे की ब्याज दरों और निगमित निवेशों हेतु बाह्य पूँजी के नियमित प्रवाह को बनाए रखने के लिए यह आवश्यक है।","یہ ادائیگیوں کے مستحکم توازن، اعتدال پسند سود کی شرحوں اور کارپوریٹ سرمایہ کاری کے لیے بیرونی سرمائے کے ایک مستحکم بہاؤ کو برقرار رکھنے کے لیے ضروری ہے۔","This is essential for maintaining a stable balance of payments, moderate interest rates and a steady flow of external capital for corporate investment.","एह्‌‌ भुगतानें दे स्तिर संतुलन, औसत ब्याज दरें ते कार्पोरेट निवेश आस्तै बाह्‌री पूंजी दे नियमत परवाह्‌‌ गी बनाई रक्खने आस्तै जरूरी ऐ।"
"इसके अलावा, अमरीकी खरीदार विदेशों में धन खर्च करना पसंद करते हैं और उनके पसंदीदा गंतव्य स्थान क्रमशः यू.के. (49%), चीन (39%), कनाडा (34%), हांगकांग (20%) और ऑस्ट्रेलिया (18%) हैं।","اس کے علاوہ، امریکی خریدار بیرون ملک اپنی رقم خرچ کرنے پر خوش ہیں، اس میں ان کی پسندیدہ منزل برطانیہ (49 فیصد) ہے، اس کے بعد چین (39 فیصد)، کینیڈا (34 فیصد) ہانگ کانگ (20 فیصد) اور آسٹریلیا (18 فیصد) ہیں۔","On top of that, US shoppers are happy to spend their money abroad with the UK being their favoured destination (49%) followed by China (39%), Canada (34%), Hong Kong (20%) and Australia (18%).","सभनें शा बड्डी गल्ल एह्‌‌ ऐ जे अमरीकी खरीदार बदेस च अपना पैसा खर्च करियै खुश न, जिं'दे च ब्रिटेन उंʼदा पसंदीदा ठकाना ऐ ( 49 % ) एह्‌‌‌दे परैंत्त चीन ( 39 % ), कनेडा ( 34 % ), हांगकांग ( 20 % ) ते ऑस्ट्रेलिया ( 18 % ) न।"
"राज्य नोडल एजेंसियों (एस.एन.एज़.) को कार्यान्वयन करने वाले ऐसे संगठनों को अनुबंधित करने हेतु चुनने का अधिकार है जो राज्य में सार्वजनिक चार्जिंग स्टेशनों और बैटरी की अदला-बदली/चार्जिंग सुविधाओं को तैयार करेंगे, चलाएंगे, और बनाए रखेंगे।","ریاستی نوڈل ایجنسیوں (ایس این ایز) کو ریاست میں عوامی چارجنگ اسٹیشنوں اور بیٹری کی تبادلہ/چارجنگ سہولیات کو انسٹال کرنے، چلانے اور برقرار رکھنے کے لیےعمل درآمد کرنے والی ایجنسیوں کا انتخاب کرنے کا پابند کیا گیا ہے۔‏","State Nodal Agencies (SNAs) are mandated to select implementing agencies to install, operate and maintain public charging stations and battery swapping/charging facilities in the state.","स्टेट नोडल अजैंसियें ( ऐस्सऐन्नए ) गी रियासता च सार्वजनक चार्जिंग स्टेशन ते बैटरी स्वैपिंग / चार्जिंग सुविधां स्थापत करने, संचालत करने ते बनाई रक्खने आस्तै लागू करने आह्‌ली अजैंसियें दा चनाऽ करना बड़ा जरूरी ऐ।"
बैंकिंग और वित्तीय क्षेत्रों के प्रति हमारी सरकार द्वारा अपनाई गई रणनीति पर्यवेक्षण और विनियमन को मजबूत करते हुए वित्तीय पहुंच का विस्तार करने और बाजारों को गहराई प्रदान करने की रही है।,بینکنگ اور مالیاتی شعبے کے بارے میں ہماری حکومت کی اپروچ یہ رہی ہے کہ مالیاتی رسائی کو توسیع دے کر اور منڈیوں کو مستحکم کرکے مضبوط نگرانی اور انضباط کو یقینی بنایا جائے۔‏,Our Government's approach to the banking and financial sector has been to ensure robust oversight and regulation while expanding financial access and deepening markets.,वित्ती पुज्ज गी बधाने ते मार्किटें गी गैह्‌राने दे दुरान साढ़ी सरकार दा नजरिया बैंकिंग ते वित्ती सैक्टर लेई जबरदस्त चौकसी ते नियंत्रण गी यकीनी बनाने दा रेहा ऐ।
ऐसा इसलिए है क्योंकि वृद्धि आनुवांशिक और परिवेशी दोनों ही कारकों से प्रभावित होती है।,ایسا اس لیے کیونکہ نشو و نما جینیاتی اور ماحولیاتی دونوں عوامل سے متاثر ہوتی ہے۔,This is because growth is affected by both genetic and environmental factors.,ऐसा इस करियै ऐ की जे विकास पुश्तैनी ते पर्यावरणी दौनें कारकें थमां प्रभावत होंदा ऐ।
"खाद्य उत्पादन, अर्थ व्यवस्था और सुरक्षा पर रोगाणुरोधी प्रतिरोध के प्रभावों के कारण, इसे स्वास्थ्य, राष्ट्रीय सुरक्षा और अर्थ व्यवस्था के लिए भी खतरा माना जाता है।","اینٹی مائیکروبیل مزاحمت کو غذائی پیداوار، معیشت اور سلامتی پر اس کی اثر اندازی کی وجہ سے صحت، قومی سلامتی اور معیشت کے لیے بھی خطرہ سمجھا جاتا ہے۔","Because of its effect on food production, economy and security, antimicrobial resistance is also considered a threat to health, national security and the economy.","खाद्य उत्पादन, अर्थव्यवस्था ते सुरक्षा उप्पर एह्‌‌‌दे असर मूजब, रोगाणुरोधी प्रतिरोध गी सेह्‌त, राश्ट्री सुरक्षा ते अर्थव्यवस्था आस्तै बी खतरा मन्नेआ जंदा ऐ।"
"लगभग 2500 ईसा पूर्व में लिखी गई चरकसंहिता और सुश्रुतसंहिता, वर्तमान में आयुर्वेद के पूर्ण रूप से उपलब्ध मुख्य आलेख हैं।","چرک سمہتا اور سوشروتا سمہتا، جو 2500 قبل مسیح کے قریب تیار کی گئی تھی، آیور وید کے اہم مقالے ہیں جو آج مکمل طور پر دستیاب ہیں۔","The Charaka Samhita and Sushruta Samhita, developed around 2500 BC, are the main treatises of Ayurveda fully available today.","2500 ईसा पूर्व तक्कर विकसत चरक संहिता ते सुश्रुत संहिता, आयुर्वेद दे प्रमुख ग्रंथ न जेह्‌‌ड़े अज्ज पूरी चाल्ली उपलब्ध न।"
लंबे समय तक शारीरिक व्यायाम के दौरान शरीर को ऊर्जा देते रहने में शरीर के परिसंचारी और श्वसन तंत्र की क्षमता हृद्श्वसन स्थिरता से मापी जाती है।,قلبی تنفسی برداشت مستقل جسمانی سرگرمی کے دوران ایندھن مہیا کرنے کے لیے جسم کے دورانی اور تنفسی نظاموں کی صلاحیت کی عکاسی کرتی ہے۔,Cardio-respiratory endurance reflects the ability of the body's circulatory and respiratory systems to supply fuel during sustained physical activity.,कार्डियो-साह् सरबंधी सैह्‌नशक्ति लगातार शरीरी गतिविधि दे दुरान इंधन दी आपूर्ति करने आस्तै शरीरै दी रक्तवाही ते साह् सरबंधी सिस्टमें दी समर्थ दर्शांदी ऐ।
"आयुष चिकित्सकों की उपलब्धता के आधार पर 18 में से 13 ज़िलों (राज्यों) में होमियोपैथी, आयुर्वेद, सिद्ध और यूनानी प्रणालियों के औषधीय नुस्खे उपलब्ध थे।","‏آیوش ڈاکٹروں کی دستیابی کے مطابق ہومیوپیتھی، آیوروید، سدھا اور یونانی نظام کے 18 اضلاع (ریاستوں) میں سے 13 کے لیے نسخے دستیاب تھے۔‏","The prescriptions were available for 13 out of 18 districts (states) of Homeopathy, Ayurveda, Siddha, and Unani systems, as per the availability of AYUSH doctors.","आयुष डाक्टरें दी उपलब्धता दे मताबक होम्योपैथी, आयुर्वेद, सिद्ध ते यूनानी पद्धति दे 18 बिच्चा 13 जि'लें ( राज्यें )आस्तै नुस्खे उपलब्ध हे।"
सुलेमान के माता-पिता काफी लंबे थे।,سلیمان کے والدین کافی قد آور تھے۔,Suleman's parents were quite tall.,सुलेमान दे माता-पिता खासे लम्मे हे।
"इसके अलावा, उन्होंने कहा कि कमज़ोर नीति पहलें, आयुर्वेदिक दवाओं और उपचारों की सुरक्षा और प्रभावकारिता में शोध की कमी, और आयुर्वेद तथा जैवचिकित्सा के चिकित्सकों के बीच संवादहीनता आयुर्वेद और जैवचिकित्सा में कार्यात्मक एकीकरण पाने में प्रमुख अवरोध हैं।","‏اس کے علاوہ انہوں نے اس بات کا اظہار کیا کہ آیوروید اور بائیومیڈیسن کے پریکٹیشنرز کے درمیان مواصلات کی رکاوٹ، آیورویدک ادویات اور تھراپی کی حفاظت اور افادیت کے سلسلے میں کم تحقیقی کام، اور ناکافی پالیسی اقدامات آیوروید اور بائیومیڈیسن کے درمیان فعال انضمام کو سمجھنے میں اہم رکاوٹیں درپیش ہیں۔","Further, they expressed that the communication barrier between practitioners of Ayurveda and Biomedicine, meager research work with respect to the safety and efficacy of Ayurvedic medicines and therapies, and inadequate policy initiatives are the important obstacles in realizing functional integration between Ayurveda and Biomedicine.","एह्‌‌‌दे अलावा, उʼनें स्पश्ट कीता जे आयुर्वेद ते बायोमेडिसिन दे चकित्सकें दे बिच्च संचार रोक-रकावट, आयुर्वेद दोआइयें ते उपचारें दी सुरक्षा ते गुणकारता दे सरबंधै च घट्ट शोध-कम्म, ते नाकाफी नीतिगत पैह्‌‌लां आयुर्वेद ते बायोमेडिसिन दे बिच्च कम्मात्मक एकीकरण गी साकार करने च म्हत्तवपूर्ण अड़चनां न।"
आयुष सेवाओं के लिए उच्चतर आर्थिक आवंटन करने की आवश्यकता होती है।,آیوش خدمات کے لیے ایک اعلیٰ مالیاتی تخصیص کیے جانے کی ضرورت ہے۔,A higher financial allocation needs to be made for the AYUSH services.,आयुष सेवाएं आस्तै मता धन निर्धारत करने दी लोड़ ऐ।
"कुल बजट का मात्र 3% निहायत अपर्याप्त है और, इतने अधिक संस्थानों में बस एक कमजोर गुणवत्ता की सेवाएँ ही सुनिश्चित कर सकता है।",کل بجٹ کا محض 3 فیصد انتہائی ناکافی ہے اور بڑی تعداد میں اداروں کے تناظر میں ان میں خدمات کے ناقص معیار ہی کو یقینی بنایا جاسکتا ہے۔,"A mere 3% of the total budget is grossly inadequate and, with a large number of institutions, can only ensure the poor quality of services in them.","कुल बजट दा मात्तर 3 % गै पूरी चाल्ली नाकाफी ऐ ते मती गिनती दे संस्थानें कन्नै, उंʼदे च सेवाएं दी सिर्फ खराब गुणवत्ता गै निश्चत करी सकदा ऐ।"
यदि आप कुछ नहीं करते क्योंकि किसी अध्ययन में कुछ न करने को कहा गया था तो हो सकता है कि यह बचाव के रूप में पर्याप्त न हो।,"اگر آپ کچھ بھی نہیں کرتے کیونکہ ایک تحقیق نے کہا ہے کہ نہ کریں، تو امکان ہے کہ یہ ایک اچھا دفاع نہ ہو۔","If you don't do anything because a study said not to, that may not be good enough as a defense.","जे तुस किश नेईं करदे ओ कीजे इक अध्ययन ने नेईं करने लेई आखेआ ऐ, तां होई सकदा ऐ एह्‌‌ बचाऽ दे रूप च काफी नेईं होऐ।"
विवेकी डॉक्टर बनाम विवेकी रोगी: कौन किसके लिए निर्णय लेता है?,‏سمجھدار ڈاکٹر بمقابلہ محتاط مریض: کون کس کے لیے فیصلہ کرتا ہے؟‏,The prudent doctor vs. the prudent patient: who decides for whom?,समझदार बनाम समझदार रोगी : कु'न कोह्‌‌‌दे लेई फैसला करदा ऐ ?
आश्चर्यजनक है कि विश्व स्वास्थ्य संगठन (डब्ल्यू.एच.ओ.) के अनुसार वर्तमान में न केवल 43 करोड़ लोग निर्योग्यकारी श्रवण हानि के साथ जी रहे हैं बल्कि 12 से 35 वर्षीय 100 करोड़ से अधिक लोगों को तेज संगीत के कार्यक्रमों और क्लबों या अपने यंत्रों से तेज संगीत सुनने के कारण श्रवण हानि होने का खतरा है।,"حیرت کی بات یہ ہے کہ عالمی ادارہ صحت (ڈبلیو ایچ او) کے مطابق، نہ صرف 430 ملین افراد ہیں جو فی الحال سماعت کے معذور کن نقصان کے ساتھ زندگی گزار رہے ہیں، بلکہ 12 سے 35 سال کے درمیان 1 ارب سے زیادہ افراد کو موسیقی کے پروگراموں اور کلبوں یا ان کے آلات سے پیدا ہونے والی تیز آواز کی نمائش کی وجہ سے سماعت کے نقصان کا خطرہ ہے۔","Shockingly, according to the World Health Organization (WHO), not only are 430 million people currently living with disabling hearing loss, but more than 1 billion people aged between 12 and 35 years are at risk of hearing loss due to exposure to loud sounds at music gigs and clubs or on their devices.","झनकोरने आह्‌‌‌ली गल्ल एह्‌‌ ऐ जे वर्ल्ड हैल्थ आर्गनाइज़ेशन ( डब्ल्यूएचओ ) दे मताबक, ना सिर्फ वर्तमान च 430 मिलियन लोक सुनने दी समर्था दी असमर्थता कन्नै जीआ दे न, बल्के 12 कोला 35 बʼरें दी बरेसा दे 1 सौ करोड़ कोला मते लोकें दी म्यूजिक गिगें ते क्लबें जां उंʼदे उपकरणें पर तेज अवाज दे संपर्क च औने कारण सुनने दी समर्थ जाने दा खतरा ऐ। ।"
हमें व्यक्तिगत जोखिम को परिभाषित करना चाहिए।,ہمیں انفرادی خطرے کی وضاحت کرنی چاہیے۔,We should define individual risk.,असें व्यक्तिगत जोखम गी परिभाशत करना चाहिदा।
"शिशु के विकास के लिए स्तन्य दुग्ध में कैलोरिक घनत्व, प्रोटीन, कार्बोहाइड्रेट और वसा अति महत्वपूर्ण होते हैं।","دراصل، چھاتی کے دودھ میں موجود کیلوری کی کثافت، پروٹین، کاربوہائیڈریٹ اور چربی بچے کی نشو و نما کے لیے بہت اہم ہوتے ہیں۔","In fact, the caloric density, protein, carbohydrate and fat in breast milk are very important for the growth of the child.","दरअसल माऊ दे दुद्धै च मजूद कैलोरी घनता, प्रोटीन, कार्बोहाइड्रेट ते चर्बी ञ्याणे दे विकास आस्तै बड़े जरूरी होंदे न।"
"भले ही ऐसा लगे कि वह सँभल रहा/रही है, डूबने के दुर्घटनाग्रस्त को डॉक्टर के इलाज की ज़रूरत होती है, क्योंकि, जैसा बॉक्स 12.2 में बताया गया है, बाद में जा कर उसके साथ द्वितीयक डूबने की घटना भी हो सकती है।","ڈوبنے سے لگنے والی چوٹ کا علاج کسی میڈیکل ڈاکٹر کے ذریعے کیا جانا چاہیے، خواہ وہ ٹھیک ہی ہوتا ہوا کیوں نہ لگے، کیونکہ جیسا کہ باکس 12.2 میں وضاحت کی گئی ہے، بعد کے مرحلے میں اس کی ثانوی غرقابی واقع ہوسکتی ہے۔","A casualty from drowning needs to be treated by a medical doctor, even if he/she seems to recover, because, as explained in Box 12.2, a secondary drowning may occur in him/her at a later stage.","डुब्बने कन्नै घाल व्यक्ति दा लाज चकित्सक द्वारा कीता जाना चाहिदा, भले गै ओह्‌‌ ठीक होंदा लब्भा दा होऐ . की जे, जिʼयां के बाक्स 12 . 2 च दस्सेआ गेदा ऐ, बाद इच उस च दूई डोबी बी घटी सकदी ऐ।"
भारत की पूरक चिकित्सा के क्षेत्र में अपेक्षाकृत श्रेष्ठता है और इस क्षेत्र में वैश्विक अगुआ बन सकता है।,بھارت کو تکمیلی ادویہ کے میدان میں تقابلی فوقیت حاصل ہے اور یہ اس شعبے میں عالمی رہنما بن سکتا ہے۔,India has a comparative advantage in the area of Complementary Medicine and can be a world leader in the field.,पूरक चकित्सा दे खेतरै च भारत तुलनात्मक रूप कन्नै अग्गें ऐ ते इस खेतरै च दुनिया दा आगू होई सकदा ऐ।
ऐसा इसलिए है क्योंकि भारत के पास अपनी खुद की एक बेहद समृद्ध और परिपक्व स्वदेशी चिकित्सीय धरोहर और पश्चिमी जैवचिकित्सा विज्ञान में मजबूत बुनियाद है।,ایسا اس لیے کیونکہ بھارت کے پاس اس کا اپنا ایک بے حد متمول اور ترقی یافتہ دیسی طبی ورثہ ہے اور مغربی بایو میڈیکل علوم میں مضبوط بنیادیں ہیں۔,This is because India has an immensely rich and mature indigenous medical heritage of its own and strong foundations in western biomedical sciences.,ऐसा इस करियै ऐ की जे भारत कोल अपनी बे-हद्द सग्गोसार ते पूरी विकसत स्वदेशी चकित्सा बरासत ऐ ते पच्छमी जैवी चकित्सा विज्ञान च नीहां निग्गर न।
"जिन सूक्ष्माणुओं के समूह पर ये काम करती हैं, उस आधार पर इन्हें वायरसरोधी, फंगसरोधी, प्रोटोज़ोआरोधी तथा प्रतिजैविक औषधियों के रूप में वर्गीकृत किया जाता है।","‏انہیں ان جراثیم کے گروپ کے لحاظ سے جن پر اثر انداز ہوتے ہیں، اینٹی وائرل، اینٹی فنگل، اینٹی پروٹوزولز اور اینٹی بائیوٹکس کے طور پر درجہ بند کیا جاتا ہے۔‏","These are classified as anti-virals, anti-fungals, anti-protozoals and antibiotics according to the group of microbes they act upon.","इʼनें गी रोगाणुओं दे समूह् दे मताबक ऐंटी-वायरल, ऐंटी-फंगल, ऐंटी-प्रोटोज़ोल ते ऐंटीबायोटिक्स दे रूप च वर्गीकृत कीता जंदा ऐ।"
"इनमें भोजन और पानी के अंतर्ग्रहण में कमी, आलस्य, पनियल या फीका सफेद श्लेष्माभ नेत्र स्राव, आँखों में सूजन, असामान्य विष्ठा (रंग और रूप) शामिल हैं।","ان میں کم ہوا فیڈ یا پانی کی مقدار، سستی، پانی یا پیلا سفید بلغاری خارج ہونے والے مادے کا آنکھوں سے خارج ہونا، آنکھوں میں جلن اور غیر معمولی پاخانہ (رنگ اور شکل میں) شامل ہوسکتے ہیں۔","These may include reduced feed or water intake, lethargy, watery or pale white mucoid discharge from the eyes, inflammation in the eyes, and abnormal stool (colour and form).","इं'दे च घट्ट भोजन जां पानी दा सेवन, सुस्ती, अक्खियें चा पानी जां पीला चिट्टा चिप्पड़, अक्खें च सोजश ते विकृत टट्टी ( रंग ते रूप ) शामल होई सकदे न।"
